country,director,genre,imdb_rating,imdb_url,title,url,year
США,Джим Джармуш,,7.1,https://www.imdb.com/title/tt0090861/,,https://ru.wikipedia.org/wiki/%D0%9A%D0%BE%D1%84%D0%B5_%D0%B8_%D1%81%D0%B8%D0%B3%D0%B0%D1%80%D0%B5%D1%82%D1%8B_(%D0%BA%D0%BE%D1%80%D0%BE%D1%82%D0%BA%D0%BE%D0%BC%D0%B5%D1%82%D1%80%D0%B0%D0%B6%D0%BD%D1%8B%D0%B9_%D1%84%D0%B8%D0%BB%D1%8C%D0%BC),1986
США,Гас Ван Сент,,6.5,https://www.imdb.com/title/tt0089537/,,https://ru.wikipedia.org/wiki/%D0%94%D1%83%D1%80%D0%BD%D0%B0%D1%8F_%D0%BD%D0%BE%D1%87%D1%8C,1985
Россия,Игорь Безруков,,,,,https://ru.wikipedia.org/wiki/%D0%A8%D0%B0%D0%B3%D1%80%D0%B5%D0%BD%D0%B5%D0%B2%D0%B0%D1%8F_%D0%BA%D0%BE%D1%81%D1%82%D1%8C_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC),1992
Россия,Алексей Балабанов,,6.9,https://www.imdb.com/title/tt0156849/,,https://ru.wikipedia.org/wiki/%D0%9F%D1%80%D0%BE_%D1%83%D1%80%D0%BE%D0%B4%D0%BE%D0%B2_%D0%B8_%D0%BB%D1%8E%D0%B4%D0%B5%D0%B9,1998
Великобритания,Салли Поттер,,6.7,https://www.imdb.com/title/tt0120275/,,https://ru.wikipedia.org/wiki/%D0%A3%D1%80%D0%BE%D0%BA_%D1%82%D0%B0%D0%BD%D0%B3%D0%BE,1997
США,Тим Бёртон,,7.8,https://www.imdb.com/title/tt0109707/,,https://ru.wikipedia.org/wiki/%D0%AD%D0%B4_%D0%92%D1%83%D0%B4_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC),1994
Франция,Патрис Леконт,,7.4,https://www.imdb.com/title/tt0144201/,,https://ru.wikipedia.org/wiki/%D0%94%D0%B5%D0%B2%D1%83%D1%88%D0%BA%D0%B0_%D0%BD%D0%B0_%D0%BC%D0%BE%D1%81%D1%82%D1%83,1999
США,Вуди Аллен,,6.3,https://www.imdb.com/title/tt0120533/,,https://ru.wikipedia.org/wiki/%D0%97%D0%BD%D0%B0%D0%BC%D0%B5%D0%BD%D0%B8%D1%82%D0%BE%D1%81%D1%82%D1%8C_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC),1998
США,Вуди Аллен,,6.7,https://www.imdb.com/title/tt0105378/,,https://ru.wikipedia.org/wiki/%D0%A2%D0%B5%D0%BD%D0%B8_%D0%B8_%D1%82%D1%83%D0%BC%D0%B0%D0%BD,1991
"Бельгия, [, 1, ]",,,7.4,https://www.imdb.com/title/tt0103905/,,https://ru.wikipedia.org/wiki/%D0%A7%D0%B5%D0%BB%D0%BE%D0%B2%D0%B5%D0%BA_%D0%BA%D1%83%D1%81%D0%B0%D0%B5%D1%82_%D1%81%D0%BE%D0%B1%D0%B0%D0%BA%D1%83,1992
СССР,Григорий Мелик-Авакян,,,,,"https://ru.wikipedia.org/wiki/%D0%9F%D0%B5%D1%80%D0%B5%D0%B4_%D1%80%D0%B0%D1%81%D1%81%D0%B2%D0%B5%D1%82%D0%BE%D0%BC_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC,_1961)",1961
